,,Office,Provet
,,PR No.,
,Provincial Veterenary Office,,
,Emanating Department,,
,Province of Batangas,,
,,,
Provincial Department Head,,,
General Services Office,,,
Provincial Capitol,,,
Batangas,,,
,,,
Sir:,,,
,,,
"May I request for the purchase of supplies and materials needed by our department for the 3rd quarter/month of AUGUST, 2025 to wit:",,,
,,,
QTY.,PARTICULARS / ITEM DESCRIPTION,ESTIMATED PRICE,
20 pcs,Training Kit," 32,000.00 ",
3 persons,Honorarium for Resource Person," 15,000.00 ",
50 pax,Meals & Snacks (AM Snacks & Lunch)," 35,000.00 ",
60 pcs,Tshirt with collar and print premium dry fit," 48,000.00 ",
,,,
,,,
Charged to: 92401,Training Expenses,,
,Office: Livestock and Poultry Development Services,,
,Account: 5-02-02-010,,
,,,
Purpose:,For use in the documentation of extension activities.,,
,,,
,,"ROMENTO R. MARASIGAN, DVM",
,,PGDM,
